address,planned_area_id
Marientalstraße 13,1
Marientalstraße 14,1
Marientalstraße 16,1
Marientalstraße 19,1
Wermelingstraße 41,1
Wermelingstraße 45,1
Wermelingstraße 50,1
Ferdinandstraße 16,1
Ferdinandstraße 18,1
Siverdesstraße 19,1
Ferdinandstraße 1,1
Ferdinandstraße 3,1
Ferdinandstraße 4,1
Kanalstraße 39,1
Ferdinandstraße 2,1
Kanalstraße 52,1
Kanalstraße 56,1
Marientalstraße 28,1
Marientalstraße 31,1
Breul 18,1
Breul 19,1
Heerdestraße 29,1
Kleimannstraße 11,1
Nordstraße 40,1
Nordstraße 45,1
Nordstraße 47,1
Nordplatz 3,1
Nordplatz 4,1
Kellermannstraße 4,1
Raesfeldstraße 41,1
Raesfeldstraße 45,1
Kellermannstraße 14,1
Kellermannstraße 16,1
Gertrudenstraße 10,1
Gertrudenstraße 33,1
Gertrudenstraße 25a,1
Gertrudenstraße 27,1
Raesfeldstraße 32,1
Gertrudenstraße 37,1
Gertrudenstraße 38,1
Gertrudenstraße 39,1
Gertrudenstraße 43,1
Hedwigstraße 20,1
Melchersstraße 59,1
Heinrich-Hemsath-Weg 7,1
Heinrich-Hemsath-Weg 9,1
Melchersstraße 71,1
Ulrichstraße 5,1
Ulrichstraße 16,1
Wermelingstraße 33,1
Wermelingstraße 38,1
Wermelingstraße 40,1
Am Kreuztor 1,1
Wermelingstraße 27,1
Wermelingstraße 34,1
Melchersstraße 55,1
Melchersstraße 57,1
Hedwigstraße 4,1
Marientalstraße 8,1
Hedwigstraße 15,1
Studtstraße 27,1
Studtstraße 25,1
Kleimannstraße 8,1
Nordstraße 27,1
Raesfeldstraße 15,1
Finkenstraße 30,1
Raesfeldstraße 40,1
Raesfeldstraße 44,1
Raesfeldstraße 46,1
Finkenstraße 39,1
Finkenstraße 43,1
Finkenstraße 45,1
Finkenstraße 32,1
Raesfeldstraße 61,1
Wüllnerstraße 7,1
Raesfeldstraße 63,1
Raesfeldstraße 68,1
Heerdestraße 5,1
Heerdestraße 7,1
Gertrudenstraße 5,1
Buddenstraße 3,1
Münzstraße 13,1
Kreuzstraße 20,1
Münzstraße 29,1
Jüdefelderstraße 44,1
Münzstraße 51,1
Gartenstraße 11,1
Gartenstraße 13,1
Gartenstraße 18,1
Gartenstraße 12,1
Gartenstraße 16,1
Gartenstraße 4,1
Gartenstraße 3,1
Gartenstraße 5,1
Gartenstraße 20,1
Eckenerstraße 23,1
Rjasanstraße 8,1
Eckenerstraße 17,1
Eckenerstraße 19,1
Eckenerstraße 13,1
Eckenerstraße 15,1
Eckenerstraße 9,1
Eckenerstraße 7,1
Eckenerstraße 5,1
Eckenerstraße 6,1
Eckenerstraße 8,1
Eckenerstraße 3,1
Eckenerstraße 4,1
Eckenerstraße 18,1
Eckenerstraße 16,1
Eckenerstraße 10,1
Kanalstraße 53,1
Nordstraße 2,1
Schulstraße 43,1
Schulstraße 41,1
Zeppelinstraße 7,1
Zeppelinstraße 5a,1
Kanalstraße 14,1
Marientalstraße 66,1
Marientalstraße 58,1
Fürstenbergstraße 10,1
Maximilianstraße 17,1
Maximilianstraße 13,1
Maximilianstraße 15a,1
Maximilianstraße 13b,1
Fürstenbergstraße 5,1
Zeppelinstraße 7d,1
Maximilianstraße 13c,1
Zeppelinstraße 7c,1
Dürerstraße 6,1
Dürerstraße 8,1
Coerdestraße 25a,1
Coerdestraße 8,1
Münzstraße 15,1
Münzstraße 22,1
Münzstraße 25,1
Münzstraße 26,1
Münzstraße 27b,1
Münzstraße 30,1
Voßgasse 3,1
Am Kreuztor 2,1
Ludwig-Dürr-Straße 1,1
Ludwig-Dürr-Straße 4,1
Eckenerstraße 22,1
Ludwig-Dürr-Straße 6,1
Rjasanstraße 18,1
Rjasanstraße 15,1
Martin-Luther-Straße 10,1
Wienburgstraße 44,1
Cheruskerring 33,1
Breul 29,1
Cheruskerring 5,1
Wichernstraße 13,1
Wichernstraße 15,1
Wichernstraße 17,1
Kanonierstraße 7,1
Ritterstraße 28,1
Ritterstraße 38,1
Hörsterstraße 47,1
Hörsterstraße 49,1
Bült 13,1
Münzstraße 1,1
Kanalstraße 55,1
Neutor 2,1
Martinistraße 5,1
Martinistraße 2,1
Neubrückenstraße 63,1
Breul 13,1
Breul 13a,1
Breul 23,1
Breul 14,1
Breul 14a,1
Breul 21a,1
Neubrückenstraße 17,1
Neubrückenstraße 23,1
Neubrückenstraße 59,1
Martinikirchhof 7,1
Martinikirchhof 9,1
Martinikirchhof 10,1
Martinikirchhof 12,1
Stiftsherrenstraße 5,1
Stiftsherrenstraße 6,1
Martinistraße 9,1
Bült 1,1
Bült 5,1
Bült 9,1
Grevener Straße 42,1
Grevener Straße 44,1
Altumstraße 1,1
Altumstraße 3,1
Cheruskerring 35,1
Cheruskerring 41,1
Kleimannstraße 11a,1
Kanalstraße 18,1
Kanalstraße 24,1
Kanalstraße 34,1
Mauritzstraße 30,1
Hörsterstraße 30,1
Schlaunstraße 14,1
Lotharingerstraße 30,1
Grevener Straße 54,1
Grevener Straße 55,1
Kanonierstraße 11,1
Kanonierstraße 12,1
Kinderhauser Straße 9,1
Kinderhauser Straße 11,1
Kinderhauser Straße 5,1
Kanonierstraße 9,1
Kanonierstraße 10,1
Wichernstraße 41,1
Wichernstraße 43,1
Wichernstraße 44,1
Wichernstraße 45,1
Wichernstraße 47,1
Grevener Straße 66,1
Kinderhauser Straße 17a,1
Coerdestraße 67a,1
Mauritzstraße 22,1
Mauritzstraße 20,1
Mauritzstraße 19,1
Grevener Straße 88,1
Melchersstraße 13,1
Steinfurter Straße 3,1
Gertrudenstraße 6,1
Heerdestraße 3,1
Wienburgstraße 22,1
Wienburgstraße 22a,1
Cheruskerring 14,1
Breul 43,1
Breul 4,1
Bergstraße 36,1
Lazarettstraße 2a,1
Gertrudenstraße 44,1
Melchersstraße 11,1
Finkenstraße 50,1
Finkenstraße 42,1
Finkenstraße 44a,1
Gertrudenstraße 29,1
Raesfeldstraße 29,1
Raesfeldstraße 36,1
Raesfeldstraße 28,1
Friesenring 30,1
Am Kreuztor 5,1
Hörsterstraße 31,1
Hörsterstraße 15,1
Hörsterstraße 46,1
Hoyastraße 23b,1
Wichernstraße 5,1
Wermelingstraße 7,1
Coerdestraße 2,1
Dürerstraße 9,1
Steinfurter Straße 6,1
Heerdestraße 2,1
Heerdestraße 11,1
Heerdestraße 13,1
Heerdestraße 14,1
Heerdestraße 17,1
